forecast_date,ticker,forecasted_return
2023-07-31,BALRAMCHIN,-0.001895882610408687,2023-07-08
2023-07-10,BPCL,-0.011000017908489673,2023-07-08
2023-07-17,BPCL,-0.0012020857901323815,2023-07-08
2023-07-24,BPCL,-0.008409706493824845,2023-07-08
2023-07-31,BPCL,0.015604981925245556,2023-07-08
2023-07-10,BRITANNIA,0.0008341355535680251,2023-07-08
2023-07-17,BRITANNIA,0.008788176712922433,2023-07-08
2023-07-24,BRITANNIA,-0.010140048549345674,2023-07-08
2023-07-31,BRITANNIA,0.003649041568447227,2023-07-08
2023-07-10,CIPLA,0.020094900014337412,2023-07-08
2023-07-17,CIPLA,0.01941763400034805,2023-07-08
2023-07-24,CIPLA,0.0006543747897600668,2023-07-08
2023-07-31,CIPLA,0.0031779913373118163,2023-07-08
2023-07-10,COALINDIA,-0.022596663665209366,2023-07-08
2023-07-17,COALINDIA,0.004115867552736201,2023-07-08
2023-07-24,COALINDIA,-0.006389962172947107,2023-07-08
2023-07-31,COALINDIA,0.01497264233298972,2023-07-08
2023-07-10,COLPAL,0.011588574852367908,2023-07-08
2023-07-17,COLPAL,-0.0038927452121330927,2023-07-08
2023-07-24,COLPAL,0.01265958108941906,2023-07-08
2023-07-31,COLPAL,0.006733822529223996,2023-07-08
2023-07-10,DRREDDY,0.04829005978863886,2023-07-08
2023-07-17,DRREDDY,0.044921572625224365,2023-07-08
2023-07-24,DRREDDY,0.007406964256681836,2023-07-08
2023-07-31,DRREDDY,0.007874398881793873,2023-07-08
2023-07-10,GSPL,0.003908087829432184,2023-07-08
2023-07-17,GSPL,-0.005915088564533781,2023-07-08
2023-07-24,GSPL,0.03211081846123564,2023-07-08
2023-07-31,GSPL,-0.005883923027862448,2023-07-08
2023-07-10,ITC,-0.004728345547099755,2023-07-08
2023-07-17,ITC,0.0003659705291587496,2023-07-08
2023-07-24,ITC,-0.004756067969982981,2023-07-08
2023-07-31,ITC,-0.0042687078556507075,2023-07-08
2023-07-10,JBCHEPHARM,-0.023073111652637066,2023-07-08
2023-07-17,JBCHEPHARM,0.02222734688288971,2023-07-08
2023-07-24,JBCHEPHARM,-0.0020436646937949158,2023-07-08
2023-07-31,JBCHEPHARM,0.009601859250500699,2023-07-08
2023-07-10,MARICO,0.004569361640821131,2023-07-08
2023-07-17,MARICO,0.003989823539188601,2023-07-08
2023-07-24,MARICO,0.006456716850505932,2023-07-08
2023-07-31,MARICO,0.0025775347089327825,2023-07-08
2023-07-10,NAVNETEDUL,0.005117895707895548,2023-07-08
2023-07-17,NAVNETEDUL,0.003947488685510147,2023-07-08
2023-07-24,NAVNETEDUL,-0.011778263225070692,2023-07-08
2023-07-31,NAVNETEDUL,-0.02238356435372355,2023-07-08
2023-07-10,NTPC,0.026163957735713547,2023-07-08
2023-07-17,NTPC,-0.011931462556112134,2023-07-08
2023-07-24,NTPC,0.008774185729152315,2023-07-08
2023-07-31,NTPC,-0.009978413633242927,2023-07-08
2023-07-10,POLYMED,0.0019784081251757236,2023-07-08
2023-07-17,POLYMED,-0.012958376473061911,2023-07-08
2023-07-24,POLYMED,0.014589445972659985,2023-07-08
2023-07-31,POLYMED,-0.010585712491405035,2023-07-08
2023-07-10,RELIANCE,0.020732838439592963,2023-07-08
2023-07-17,RELIANCE,0.007506873132766355,2023-07-08
2023-07-24,RELIANCE,0.0036862458041350588,2023-07-08
2023-07-31,RELIANCE,-0.006008293534995342,2023-07-08
2023-07-10,SUNPHARMA,0.0008307899283833674,2023-07-08
2023-07-17,SUNPHARMA,0.012466219899404609,2023-07-08
2023-07-24,SUNPHARMA,0.006571894193017547,2023-07-08
2023-07-31,SUNPHARMA,0.015839904853455627,2023-07-08
2023-07-10,UNOMINDA,-0.011244346986413368,2023-07-08
2023-07-17,UNOMINDA,0.005605827205547791,2023-07-08
2023-07-24,UNOMINDA,0.003738082087580524,2023-07-08
2023-07-31,UNOMINDA,0.022956317864609253,2023-07-08
2023-07-10,VBL,0.00255173118132537,2023-07-08
2023-07-17,VBL,0.025750661144747472,2023-07-08
2023-07-24,VBL,0.016821473136306022,2023-07-08
2023-07-31,VBL,0.006993430032878356,2023-07-08
2023-07-10,ZYDUSLIFE,-0.0011869592703441872,2023-07-08
2023-07-17,ZYDUSLIFE,-0.003612610996867874,2023-07-08
2023-07-24,ZYDUSLIFE,0.00933175607476001,2023-07-08
2023-07-31,ZYDUSLIFE,0.011592906727390296,2023-07-08
2023-07-17,ABBOTINDIA,0.004354860153481325,2023-07-15
2023-07-24,ABBOTINDIA,-9.649344990442986e-05,2023-07-15
2023-07-31,ABBOTINDIA,-0.004516560051346251,2023-07-15
2023-08-07,ABBOTINDIA,0.007812215170771638,2023-07-15
2023-07-17,ADANIPOWER,0.00038030607289640095,2023-07-15
2023-07-24,ADANIPOWER,0.04506407923124071,2023-07-15
2023-07-31,ADANIPOWER,0.004684628440529168,2023-07-15
2023-08-07,ADANIPOWER,0.01607280402380668,2023-07-15
2023-07-17,BALRAMCHIN,-0.0023309452861490815,2023-07-15
2023-07-24,BALRAMCHIN,-0.0015112562028924124,2023-07-15
2023-07-31,BALRAMCHIN,0.011936273734190664,2023-07-15
2023-08-07,BALRAMCHIN,0.004240590816952474,2023-07-15
2023-07-17,BPCL,-0.006220183719851644,2023-07-15
2023-07-24,BPCL,-0.010705331196017225,2023-07-15
2023-07-31,BPCL,0.017888265794632124,2023-07-15
2023-08-07,BPCL,-0.009032311406093006,2023-07-15
2023-07-17,BRITANNIA,0.010051194150119886,2023-07-15
2023-07-24,BRITANNIA,-0.010263133755590192,2023-07-15
